Street,Weight,Latitude,Longitude
Ada,2,41.896436,-87.62257565
Addison,5,41.9475198,-87.6536271
Anthony,3,41.700265400000006,-87.68103734
Armitage,1,41.9182415,-87.6526308
Ashland,2,41.8853413,-87.6662819
Banks,1,41.90678686,-87.62714895
Beach,1,41.6949986,-87.57943714
Belden,1,41.9227792,-87.6528349
Belmont,1,41.9397786,-87.653334
Berkeley,1,41.80014677664894,-87.60051293
Blake,7,41.827551082800305,-87.68107297
Bradley,4,41.71807985,-87.56374978
Burnside,11,41.7300345,-87.596714
California,1,41.92202,-87.6969123
Catalpa,1,41.98182322028474,-87.6587847
Cermak,2,41.8519257,-87.626407
Chicago,36,41.8966529,-87.6281533
Cicero,3,41.8865719,-87.7451325
Clark,3,41.815962549999995,-87.64356118
Columbus,1,41.8875391,-87.6207845
Cottage grove,1,41.780414300000004,-87.60597825
Cullerton,1,41.85513438526441,-87.6623676
Delano,1,41.8884257,-87.61408853
Drake,4,41.90042065,-87.62341923
Ellen,16,41.90551994631681,-87.6740626
Ellis,1,41.829373950000004,-87.61071003
Franklin,7,41.8857198,-87.6354872
Garfield,1,41.79493525,-87.61832947
Grand,2,41.8918117,-87.6280753
Gregory,1,41.98252620935232,-87.67215537
Hamlin,2,41.8851892,-87.7205408
Henderson,1,41.94175055968069,-87.73298642
Hubbard,10,41.888644049705846,-87.64780276
Humboldt,2,41.904292600000005,-87.70188253
Illinois,4,41.83616405,-87.62647228
Indiana,1,41.8217983,-87.621299
Jessie,1,41.724030400000004,-87.67008128
Kinzie,1,41.88907815,-87.63949281
Knox,28,41.78121324952605,-87.7387154
Kostner,1,41.85374865,-87.734157
Laflin,1,41.8664087,-87.66399195
Lake,1,41.8845265,-87.6278971
Laporte,4,41.81031455123306,-87.7468957
Laramie,2,41.887196,-87.7553478
Latrobe,1,41.90680775048138,-87.75713108
Lawndale,3,41.8539606,-87.7179739
Longwood,1,41.721194,-87.6502363
Loomis,1,41.720036,-87.6565027
Loyola,2,42.0011216,-87.66105771
Marquette,5,41.76854865,-87.70289714
Mary,5,42.0092319,-87.8062782
Meredith,1,41.99520501137341,-87.76884489
Milwaukee,2,41.94521178119303,-87.7338915
Moe,4,41.85679848246883,-87.61664943
Mohawk,2,41.918275689892546,-87.6424467
Monroe,2,41.8807318,-87.6293863
Monticello,1,41.9142073,-87.71824505
Morgan,3,41.8855988,-87.6514744
Newport,2,41.94396041715708,-87.72926166
Nina,1,41.987046526791104,-87.80450731
North park,1,41.9805872,-87.7208917
Page,13,41.94863395096481,-87.82797448
Pearson,1,41.89764944458827,-87.61975235
Pershing,1,41.82358575,-87.6364137
Peterson,1,41.99103075,-87.67490456
Pierce,2,41.909326517818286,-87.6798827
Plainfield,1,41.94852215,-87.83411395
Pulaski,6,41.873879,-87.7278948
Quinn,3,41.849075,-87.62507732
Racine,3,41.8758947,-87.6593253
Rainey,1,41.75034855,-87.72864398
Ross,1,41.9311425,-87.7280367
Rush,2,41.8815534,-87.6487643
Wabash,1,41.8773985,-87.62558108
Wacker,1,41.8867464,-87.6274454
Walton,22,41.89803279520741,-87.701181
Waveland,1,41.9519357,-87.6412239
Wilson,2,41.9001094,-87.6260047
Winchester,1,41.9936428,-87.677835
